COURSE_ID;HIPPODROME_ID;DATE;REUNION;DISCIPLINE;PISTE_COURSE;TYPE_COURSE;DISTANCE;NOMBRE_PARTANT_COURSE;ALLOCATION_TOTAL_COURSE;CORDE;ETAT_TERRAIN;PENETROMETRIE;VENT_COURSE;TEMPERATURE_COURSE;CHRONO_COURSE;PLACE_CHEVAL;NUMERO_CHEVAL;CHEVAL_ID;JOCKEY_ID;ENTRAINEUR_ID;SEXE_CHEVAL;AGE_CHEVAL;STALLE_CHEVAL;VALEUR_HANDICAP_CHEVAL;POIDS_CHEVAL;MUSIQUE_CHEVAL;COTE_CHEVAL;GAINS_TOTAL_CHEVAL;GAIN_TOTAL_VICTOIRE_CHEVAL;GAIN_TOTAL_ANNEE_CHEVAL;NOMBRE_COURSE_TOTAL_CHEVAL;POURCENTAGE_GAIN_VICTOIRE_TOTAL_CHEVAL;POURCENTAGE_GAIN_ANNEE_CHEVAL;NOMBRE_VICTOIRE_TOTAL_CHEVAL;POURCENTAGE_VICTOIRE_CHEVAL;NOMBRE_PLACE_TOTAL_CHEVAL;POURCENTAGE_PLACE_TOTAL_CHEVAL;AUTRE_PLACE_TOTAL_CHEVAL;POURCENTAGE_AUTRE_TOTAL_CHEVAL
13;1;20250826;R1;P;HE;CH;3200;16;25900;D;BS;3.3;22;21;207.58;1;5;BADEN ROCKS;STEPHANE PASQUIER;MME C. WHITFIELD;H;8;10;31;58.5;9p6p1p6p(24)0p3p5p7p2p;15;165070;67500;10090;55;0.41;0.06;5;0.09;16;0.29;34;0.62
13;1;20250826;R1;P;HE;CH;3200;16;25900;D;BS;3.3;22;21;207.58;2;13;TURANIA;MAXIME GUYON;N. CAULLERY;H;10;2;28;55.5;4p0p0p0p8p7p0p5p6p8p;11;147813;59000;13304;60;0.4;0.09;5;0.08;13;0.22;42;0.7
13;1;20250826;R1;P;HE;CH;3200;16;25900;D;BS;3.3;22;21;207.58;3;12;SUMMER WAY;MME CORALIE PACAUT;S. ZULIANI (S);F;6;3;28;54;3p1p2p5p5p(23)2p1p6p2p;4.4;29461;13400;14911;10;0.45;0.51;2;0.2;5;0.5;3;0.3
13;1;20250826;R1;P;HE;CH;3200;16;25900;D;BS;3.3;22;21;207.58;4;8;KEEP AWAY;MME ESTHER RUTH WEISSMEIER;B. HELLIER;H;8;14;29.5;55.5;1p9p2p0p9p8p(24)7p0p2p;32;64155;30800;11480;44;0.48;0.18;7;0.16;6;0.14;31;0.7
13;1;20250826;R1;P;HE;CH;3200;16;25900;D;BS;3.3;22;21;207.58;5;1;ORION ROCK;AXEL BARON;A. BARON;H;5;7;32.5;60;6p1p5p3p(24)2p8p0p6p0p;20;71296;36250;8796;23;0.51;0.12;3;0.13;7;0.3;13;0.57
13;1;20250826;R1;P;HE;CH;3200;16;25900;D;BS;3.3;22;21;207.58;6;15;EASTERN STAR;ANTHONY CRASTUS;N. CAULLERY;H;5;9;25.5;53;0p3p3p5p0p0p0p0p0p0p;25;40614;24000;17214;26;0.59;0.42;3;0.12;5;0.19;18;0.69
13;1;20250826;R1;P;HE;CH;3200;16;25900;D;BS;3.3;22;21;207.58;7;10;LE ROUGE CHINOIS;AURELIEN LEMAITRE;A. WEST;H;5;16;29;56.5;3p9p7p9p5p5p(24)8p5p5p;47;34643;13933;2839;29;0.4;0.08;3;0.1;7;0.24;19;0.66
13;1;20250826;R1;P;HE;CH;3200;16;25900;D;BS;3.3;22;21;207.58;8;2;KING KARA;CRISTIAN DEMURO;T. POCHE;H;6;5;32;59.5;6p5p2p6p4p(23)7p1p1p2p;6.1;55390;41000;6800;15;0.74;0.12;4;0.27;3;0.2;8;0.53
13;1;20250826;R1;P;HE;CH;3200;16;25900;D;BS;3.3;22;21;207.58;9;9;AL HABISSET;MME AMBRE MOLINS;F. BOUALEM;F;4;1;29;55;1p7p6p0p3p5p8p2p5p6p;20;65026;30100;21276;29;0.46;0.33;3;0.1;9;0.31;17;0.59
13;1;20250826;R1;P;HE;CH;3200;16;25900;D;BS;3.3;22;21;207.58;10;11;PICNIC ROYAL;AUGUSTIN MADAMET;J. PARIZE;H;9;15;28;55.5;1p5p3p1p2p5p9p0p8p1p;14;258059;125150;29882;89;0.48;0.12;14;0.16;29;0.33;46;0.52
13;1;20250826;R1;P;HE;CH;3200;16;25900;D;BS;3.3;22;21;207.58;11;7;MEDITERRANEA BLUES;JEROME MOUTARD;MME M. GILET;H;8;4;30.5;58;9p6p0p1p2p(24)3p0p(23)7p;46;80575;55950;12300;25;0.69;0.15;6;0.24;7;0.28;12;0.48
13;1;20250826;R1;P;HE;CH;3200;16;25900;D;BS;3.3;22;21;207.58;12;4;KALEONA;FABRICE VERON;A. COUETIL (S);F;6;6;31.5;59;1p4p(24)0p4p4p3p1p6p0p;7.9;44530;25650;9750;16;0.58;0.22;4;0.25;4;0.25;8;0.5
13;1;20250826;R1;P;HE;CH;3200;16;25900;D;BS;3.3;22;21;207.58;13;3;PLATEADO;ALEXIS POUCHIN;MME S. GAVILAN;H;9;13;31.5;59;1p5p4p5p1p1p2p3p3p0p;16;194332;107650;30366;98;0.55;0.16;13;0.13;19;0.19;66;0.67
13;1;20250826;R1;P;HE;CH;3200;16;25900;D;BS;3.3;22;21;207.58;14;6;RISUENA;MME EVELYN AILEN RODRIGUEZ;J. LOPEZ SANCHEZ;F;4;8;30.5;56;1p9p7p5p1p8p(24)5p9p4p;11;27920;16650;17670;22;0.6;0.63;2;0.09;4;0.18;16;0.73
13;1;20250826;R1;P;HE;CH;3200;16;25900;D;BS;3.3;22;21;207.58;15;16;FRENCH DIVA;MME DELPHINE SANTIAGO;MME J. LE STANG;F;10;11;22.5;50;8pTp2p0p2p3p0p8p5p7p;39;124060;63900;16660;96;0.52;0.13;8;0.08;18;0.19;70;0.73
13;1;20250826;R1;P;HE;CH;3200;16;25900;D;BS;3.3;22;21;207.58;16;14;ELIITE;MME PERRINE CHEYER;S. DEHEZ (S);H;5;12;27.5;53.5;0p2p2pAs8sAhAh(24)As2s;59;9235;4000;2960;10;0.43;0.32;1;0.1;3;0.3;6;0.6
